PLAYER_ID,YEAR,DRAFT_ORDER
6428a4e8-80d1-704f-0cab-ce3eb4582bdd,2023,1
14688408-f021-70ea-a868-5685da054aad,2023,2
543804c8-e001-7079-83b1-eb16d5ae85f9,2023,3
64486488-d071-70f8-4e87-cadd61af9749,2023,4
34b83458-5041-7025-f53a-506e8e47578b,2023,5
b4682458-6011-7019-f3e2-60c89d3ee00f,2023,6
54e804d8-4061-7010-013c-870d2ef43041,2023,7
64486488-d071-70f8-4e87-cadd61af9749,2024,1
b4682458-6011-7019-f3e2-60c89d3ee00f,2024,2
d418f488-5031-7001-30e1-67e113444d49,2024,3
049864b8-1081-7020-7ec9-02f2c836277c,2024,4
c45864b8-6081-70a0-117f-376c9e35e8bf,2024,5
94083408-50c1-70eb-1690-5ad6fdf8d1f3,2024,6
d4382448-a091-700d-f664-6a32eed8a6a2,2024,7
2498f4b8-b061-70b9-1c42-84ceae3b40eb,2024,8
14688408-f021-70ea-a868-5685da054aad,2024,9
a4888418-70a1-709e-374a-ae0e1c797660,2024,10
543804c8-e001-7079-83b1-eb16d5ae85f9,2024,11
34b83458-5041-7025-f53a-506e8e47578b,2024,13
54e804d8-4061-7010-013c-870d2ef43041,2024,12
6428a4e8-80d1-704f-0cab-ce3eb4582bdd,2024,14
d418f488-5031-7001-30e1-67e113444d49,2025,1
64486488-d071-70f8-4e87-cadd61af9749,2025,2
c45864b8-6081-70a0-117f-376c9e35e8bf,2025,3
d4382448-a091-700d-f664-6a32eed8a6a2,2025,4
94083408-50c1-70eb-1690-5ad6fdf8d1f3,2025,5
6428a4e8-80d1-704f-0cab-ce3eb4582bdd,2025,6
14688408-f021-70ea-a868-5685da054aad,2025,7
34b83458-5041-7025-f53a-506e8e47578b,2025,8
a4888418-70a1-709e-374a-ae0e1c797660,2025,9
54e804d8-4061-7010-013c-870d2ef43041,2025,10
543804c8-e001-7079-83b1-eb16d5ae85f9,2025,11


